Körper      D           R           UT      RT
--------------------------------------------------
Sonne       0           1392700     0       25
Merkur      57900000    4840        88      59
Venus       108000000   12200       225     243
Erde        150000000   12757       365     1
Mars        228000000   6787        687     1
Jupiter     778000000   142870      12*365  9/24
Saturn      1426000000  120670      29*365  10/24
Uranus      2870000000  51000       84*365  16/24
Neptun      4496000000  49200       164*365 16/24

