
Discovery / ID-Title (not necessarily the original title),Published,Author,Birth Year,Author Age,Field,Number of previous publications,h-index today,h-idex then,L-index today
Prinzip einer Methode zur Herstellung von Kanalstrahlen hoher Voltzahl,1924,Gustav Ising,1883,41,Accelerator physics,,,,
About a new principle for producing high voltages,1928,Rolf Widerøe,1902,26,Accelerator physics,,,,
The Acceleration of Electrons by Magnetic Induction,1941,Donald William Kerst,1911,30,Accelerator physics,,,,
Electronic Orbits in the Induction Accelerator,1941,Donald William Kerst,1911,30,Accelerator physics,,,,
The Strong Focusing Sychroton - A New High Energy Accelerator,1952,Ernest Courant,1920,32,Accelerator physics,,,,
The Strong Focusing Sychroton - A New High Energy Accelerator,1952,Milton Stanley Livingston,1905,47,Accelerator physics,,,,
The Strong Focusing Sychroton - A New High Energy Accelerator,1952,Hartland Snyder,1913,39,Accelerator physics,,,,
Theory of the alternating-gradient sychroton,1958,Ernest Courant,1920,38,Accelerator physics,,,,
Theory of the alternating-gradient sychroton,1958,Hartland Snyder,1913,45,Accelerator physics,,,,
What is Life? The Physical Aspect of the Living Cell,1944,Erwin Schrödinger,1887,57,Biophysics,,,,
The Chemical Basis of Morphogenesis,1952,Alan Turing,1912,40,Biophysics,,,,
Electrostatic effects in proteins,1978,Max Perutz,1914,64,Biophysics,,,,
Biophysics: An Introduction,2002,Rodney Cotterill,1933,69,Biophysics,,,,
Proteins and Nucleic Acids,1962,Max Perutz,1914,48,Biophysics,,,,
The haemoglobin molecule,1969,Max Perutz,1914,55,Biophysics,,,,
A quantitative description of membrane current and its application to conduction and excitation in nerve,1952,Alan Hodgkin,1914,38,Biophysics,,,,
A quantitative description of membrane current and its application to conduction and excitation in nerve,1952,Andrew Huxley,1917,35,Biophysics,,,,
The conduction of the nervous impulse,1964,Alan Hodgkin,1914,50,Biophysics,,,,
Bioenergetics of Photosynthesis,1975,Govindjee,1932,43,Biophysics,,,,
"On the Magnet and Magnetic Bodies, and on That Great Magnet the Earth",1600,William Gilbert,1544,56,Geophysics,,,,
Geomagnetism,1940,Sydney Chapman,1888,52,Geophysics,,,,
Geomagnetism,1940,Julius Bartels,1899,41,Geophysics,,,,
Simulating physics with computers,1982,Richard Feynman,1918,64,Computational physics,,,,
Ultimate physical limits of computation,2000,Seth Lloyd,1960,40,Computational physics,,,,
On the Revolutions of the Heavenly Spheres,1543,Nicolaus Copernicus,1473,70,Astronomy & astrophysics,,,,
New Astronomy,1609,Johannes Kepler,1571,38,Astronomy & astrophysics,,,,
Harmony of the World,1619,Johannes Kepler,1571,48,Astronomy & astrophysics,,,,
Synthesis of the Elements in Stars,1957,William Alfred Fowler,1911,46,Astronomy & astrophysics,,,,
Synthesis of the Elements in Stars,1957,Fred Hoyle,1915,42,Astronomy & astrophysics,,,,
Velocity dispersion and mass-to-light ratios for elliptical galaxies,1976,Sandra Faber,1944,32,Astronomy & astrophysics,,,,
Velocity dispersion and mass-to-light ratios for elliptical galaxies,1976,Robert Jackson,1949,27,Astronomy & astrophysics,,,,
